feature,cobertura,media,pearson_preco_venda,spearman_preco_venda,pearson_log_preco,spearman_log_preco,pearson_preco_m2,spearman_preco_m2,forca
area_util,0.9346443406022845,83.4001111033956,0.7242962236445919,0.6904327846946109,0.5779675612082246,0.6904327846946109,-0.0974109992741053,-0.10945885325036606,0.6904327846946109
suites,0.5367341640706127,1.4311970979443773,0.6596322062863993,0.636406997525683,0.6396303742248083,0.636406997525683,0.19174434911673494,0.25198513441412373,0.636406997525683
garagens,0.9548286604361371,1.3675231103860794,0.6816506705166661,0.6179134716480604,0.5691096385785076,0.6179134716480604,0.0815151611016465,0.13123532645026434,0.6179134716480604
banheiros,0.9838395638629284,2.00125338082987,0.5839847047587271,0.528164728008811,0.5526971539477468,0.528164728008811,-0.0012775248211744684,-0.0030079220133018628,0.528164728008811
quartos,0.9920171339563862,2.3319594373568857,0.4797239643490386,0.4983452879185276,0.45541191462176844,0.4983452879185276,-0.2596593166357804,-0.21511079420063822,0.4983452879185276
bairro_gramame,1.0,0.04919522326064382,-0.18635445476848023,-0.34864328068167383,-0.45010079506962436,-0.34864328068167383,-0.2561606827299317,-0.2981897283845285,0.34864328068167383
condominio,0.4791666666666667,440.6834620073141,0.2344898393344248,0.3188609352282578,0.28361697819859466,0.3188609352282578,-0.05103482549802414,-0.05889687100731926,0.3188609352282578
com_lavabo,1.0,0.04114745586708204,0.23545865304990546,0.22728977234088144,0.22234743099898033,0.22728977234088144,0.06340692874693593,0.08190947683137337,0.22728977234088144
iptu,0.20489356178608514,446.59803611023125,0.06531821055405626,0.22130421934540512,0.07740524333952098,0.22130421934540512,-0.018001613617810396,-0.02841434652632834,0.22130421934540512
com_vista_ou_acesso_praia,1.0,0.09228971962616822,0.17415187022123238,0.21716591697076504,0.20893134927684634,0.21716591697076504,0.16590369568682145,0.18762808925324584,0.21716591697076504
com_varanda_gourmet,1.0,0.14589823468328142,0.16535787515015782,0.21411089140425246,0.21204236699072143,0.21411089140425246,0.13377812882505719,0.1664931346746306,0.21411089140425246
com_varanda,1.0,0.26947040498442365,0.12616308122842326,0.2117165630344885,0.20948657462553108,0.2117165630344885,0.03830254746662973,0.07156433888458316,0.2117165630344885
com_salao_de_jogos,1.0,0.1046858774662513,0.1561262879649923,0.20985839880120616,0.194463852627586,0.20985839880120616,0.11761554823174646,0.1449321937546455,0.20985839880120616
com_piscina,1.0,0.30211578400830735,0.124374912726121,0.2015826380542654,0.2031476694240752,0.2015826380542654,0.09780218326790108,0.12653504921072528,0.2015826380542654
bairro_cabo_branco,1.0,0.10643821391484942,0.14854790028245146,0.1984048355811952,0.19539643252946234,0.1984048355811952,0.3672865248084019,0.3247319379914335,0.1984048355811952
com_salao_de_festas,1.0,0.16484942886812046,0.1311469895297932,0.1961272358245054,0.1861093603179943,0.1961272358245054,0.07902340617749903,0.1047032004121791,0.1961272358245054
com_academia,1.0,0.130776220145379,0.13118370606684018,0.1961108166851371,0.18617408617357178,0.1961108166851371,0.13512538530094578,0.16335020468080405,0.1961108166851371
com_dependencia_empregados,1.0,0.03550103842159917,0.16351247853845008,0.18977752378717674,0.17494452742862115,0.18977752378717674,-0.0214061936216813,-0.012498163858631594,0.18977752378717674
com_sauna,1.0,0.03965472481827622,0.1817285105064831,0.18795960223291394,0.18155069592406972,0.18795960223291394,0.11607961760025552,0.1346004861308785,0.18795960223291394
bairro_jardim_oceania,1.0,0.1154595015576324,0.06486141233245496,0.18561902319008416,0.16323816052731632,0.18561902319008416,0.16885717219445656,0.2109272079393387,0.18561902319008416
com_piso_ceramica,1.0,0.04685877466251298,-0.10782295444815351,-0.18080535095366,-0.18131769190078628,-0.18080535095366,-0.18962037876265547,-0.2216098734838361,0.18080535095366
com_interfone,1.0,0.2775181723779855,0.10885433577077998,0.17919300504948402,0.18963132643271036,0.17919300504948402,0.08845982404753705,0.11381140401130603,0.17919300504948402
com_playground,1.0,0.11961318795430945,0.13848498584245408,0.17842930547183106,0.1677483450610928,0.17842930547183106,0.08973463272676563,0.11384632977581143,0.17842930547183106
com_closet,1.0,0.033099688473520246,0.17943043336715087,0.17814447392941374,0.17395596829206236,0.17814447392941374,0.01794152355309981,0.031967835513204944,0.17814447392941374
com_piso_porcelanato,1.0,0.15037642782969884,0.11019551647396199,0.17484183191512714,0.17967319173059956,0.17484183191512714,0.12198219423938479,0.16266226681950985,0.17484183191512714
bairro_altiplano,1.0,0.07217030114226376,0.26335458793550015,0.17309847973927595,0.21060483533985558,0.17309847973927595,0.07408041751243502,0.10705476865211647,0.17309847973927595
com_brinquedoteca_kids,1.0,0.07930944963655244,0.12687022438112844,0.1729149276595756,0.16308240609139008,0.1729149276595756,0.10687555619602579,0.138345733641089,0.1729149276595756
com_ar_condicionado,1.0,0.19262720664589825,0.09015501395464466,0.17169312295371916,0.17145937835113273,0.17169312295371916,0.10901043082889635,0.13372418286900292,0.17169312295371916
com_churrasqueira,1.0,0.22449376947040497,0.10522699894770535,0.16749122988570925,0.16750005866761797,0.16749122988570925,0.06551635934542448,0.09577231080439844,0.16749122988570925
com_portaria_seguranca_24h,1.0,0.15991692627206647,0.11237691759379269,0.1658447961051891,0.16257173748583556,0.1658447961051891,0.08947196646133057,0.11068372795299314,0.1658447961051891
bairro_mangabeira,1.0,0.016549844236760123,-0.0878602458729504,-0.16405958873698442,-0.14862153805729167,-0.16405958873698442,-0.13852357144308636,-0.16978108197777075,0.16405958873698442
com_elevador,1.0,0.15680166147455868,0.09256109975033075,0.16069201827097357,0.16752061149662395,0.16069201827097357,0.08888378492547107,0.11303816828296569,0.16069201827097357
bairro_mucumagro,1.0,0.012071651090342679,-0.08628120276120302,-0.15962903418989252,-0.21143155849594447,-0.15962903418989252,-0.12051392370790388,-0.13998488155634609,0.15962903418989252
com_quadra_esportiva,1.0,0.0640576323987539,0.12408556983969095,0.15086744817947537,0.14110876931489086,0.15086744817947537,0.00795355320111762,0.034925775797529854,0.15086744817947537
bairro_tambau,1.0,0.06795171339563863,0.048885698981521286,0.1501057433952973,0.12770593340572692,0.1501057433952973,0.11219187150095401,0.12404454239159302,0.1501057433952973
com_alarme,1.0,0.05938473520249221,0.08268016260701477,0.14286442545358266,0.13035500467931913,0.14286442545358266,0.07077923071592623,0.09710390649761233,0.14286442545358266
com_coworking_escritorio,1.0,0.04809190031152648,0.11495724805771311,0.1413904783802369,0.13769375894658414,0.1413904783802369,0.10049894653125745,0.12283962250204987,0.1413904783802369
bairro_outros,1.0,0.01440809968847352,-0.07467687864333757,-0.139602207685701,-0.14645753141353135,-0.139602207685701,-0.10839897181884382,-0.13033941274152494,0.139602207685701
com_spa_hidromassagem,1.0,0.044132917964693666,0.14719274923329506,0.13938987261959493,0.14415181963198528,0.13938987261959493,0.11430976446345054,0.11837993918811145,0.13938987261959493
com_bicicletario,1.0,0.06860072689511942,0.09514177112426403,0.1366050480356108,0.13267953115190595,0.1366050480356108,0.11127286032220293,0.13563291116625817,0.1366050480356108
bairro_valentina_de_figueiredo,1.0,0.008631879543094497,-0.07201713775079632,-0.13421549710243932,-0.15703410904085305,-0.13421549710243932,-0.10625547151326187,-0.12589434010649841,0.13421549710243932
com_gerador_de_energia,1.0,0.03874610591900311,0.08549303381987829,0.13324189713042564,0.12278179983351127,0.13324189713042564,0.06068403842692813,0.08342589381307193,0.13324189713042564
com_despensa,1.0,0.018756490134994808,0.11830383232089309,0.13034790238042387,0.12337398062819334,0.13034790238042387,-0.00591000901246234,0.0058076307902071205,0.13034790238042387
bairro_paratibe,1.0,0.00720404984423676,-0.06945612152780807,-0.1299663379544853,-0.16412398045197477,-0.1299663379544853,-0.09421910188638093,-0.11102514205421192,0.1299663379544853
bairro_planalto_da_boa_esperanca,1.0,0.007528556593977154,-0.0689339399868844,-0.1288499086771286,-0.14973176601651916,-0.1288499086771286,-0.09629399409221787,-0.11519739329771186,0.1288499086771286
com_copa,1.0,0.025765835929387332,0.12642436515073882,0.12804415702358105,0.1266820542015257,0.12804415702358105,0.028886749710384105,0.04126216141035483,0.12804415702358105
bairro_cristo_redentor,1.0,0.011163032191069575,-0.06848458283065885,-0.12570901031887022,-0.10343315827345444,-0.12570901031887022,-0.10511939559828089,-0.12931332250531125,0.12570901031887022
origem_anuncio_chaves_na_mao,1.0,0.3724039460020768,-0.04731142049259504,-0.12323285598823845,-0.18046645956432208,-0.12323285598823845,-0.03928392393870647,-0.05710253697908506,0.12323285598823845
com_deposito,1.0,0.018107476635514017,0.136585716897572,0.12299769178150755,0.12405666929020934,0.12299769178150755,0.031156324970632376,0.039631414914211405,0.12299769178150755
bairro_ernani_satiro,1.0,0.005841121495327103,-0.06531292380877717,-0.12268726099616359,-0.16974018876118466,-0.12268726099616359,-0.08603415990035415,-0.09801456184640894,0.12268726099616359
bairro_cuia,1.0,0.007528556593977154,-0.06488296274452114,-0.1210480563624027,-0.11991544268565753,-0.1210480563624027,-0.10343271503872058,-0.12657255106895474,0.1210480563624027
com_wc_social,1.0,0.04160176531671859,-0.07742622280206508,-0.11914685397923985,-0.1274058978336869,-0.11914685397923985,-0.07558548450785439,-0.08697462097836825,0.11914685397923985
com_permitido_pets,1.0,0.29289979231568014,0.05727941752919205,0.11797797049380597,0.13499100708906867,0.11797797049380597,0.03188559730278711,0.04967151106970489,0.11797797049380597
bairro_ernesto_geisel,1.0,0.007593457943925234,-0.061631254581908185,-0.11429491596727107,-0.10602100982451908,-0.11429491596727107,-0.09073336500745022,-0.1112097263926487,0.11429491596727107
com_area_de_servico,1.0,0.39803997923156803,0.07104496321258534,0.11209341970331184,0.112771788932194,0.11209341970331184,-0.07669411171650836,-0.05808747520583877,0.11209341970331184
bairro_miramar,1.0,0.02940031152647975,0.11555333561618145,0.11090988654616236,0.11481727805804696,0.11090988654616236,0.02420285144062133,0.039374176269291926,0.11090988654616236
com_espaco_gourmet,1.0,0.11260384215991692,0.07528476412274165,0.10785586116984291,0.11577556359330504,0.10785586116984291,0.10349827590123702,0.11779911204158411,0.10785586116984291
bairro_bancarios,1.0,0.028556593977154723,-0.07350305886107195,-0.10674044880048783,-0.05955763630097668,-0.10674044880048783,-0.09968262084297923,-0.11684907414100142,0.10674044880048783
bairro_manaira,1.0,0.1163681204569055,0.0035851656619351594,0.10122284112510592,0.10046307656570021,0.10122284112510592,-0.005390599491940512,0.027661951655069576,0.10122284112510592
com_mobiliado,1.0,0.1031282450674974,0.03741349245633961,0.10046948941711624,0.1063131137684022,0.10046948941711624,0.12131286824249672,0.14160722329631045,0.10046948941711624
com_sala_de_massagem,1.0,0.010903426791277258,0.08327300758815866,0.09930827949283526,0.09190073930890541,0.09930827949283526,0.065452531159389,0.07791866878758372,0.09930827949283526
bairro_brisamar,1.0,0.020768431983385256,0.05725921684116926,0.09915906635800423,0.08907387528153457,0.09915906635800423,-0.009067101246338412,0.009657235536929444,0.09915906635800423
com_moveis_armarios_planejados,1.0,0.1037772585669782,0.023842538398281602,0.09817016287976538,0.09771854366921344,0.09817016287976538,-0.002690888804228503,0.011272327283018078,0.09817016287976538
bairro_jardim_cidade_universitaria,1.0,0.02057372793354102,-0.06373060523146627,-0.09341192125716381,-0.05323909300973859,-0.09341192125716381,-0.09888049140329111,-0.11529822223210417,0.09341192125716381
com_lavanderia,1.0,0.067432502596054,0.04526798694091723,0.09236401140232552,0.09143402264039732,0.09236401140232552,0.12731298418521741,0.13986434280045223,0.09236401140232552
com_hall_de_entrada,1.0,0.03465732087227414,0.06820679063143929,0.09227497465994661,0.09223876362186591,0.09227497465994661,0.06633578417100158,0.07855015194509954,0.09227497465994661
bairro_jose_americo,1.0,0.0055815160955347875,-0.04989345791566213,-0.09208957213355527,-0.07919506827131043,-0.09208957213355527,-0.0781435629788566,-0.09539741710877078,0.09208957213355527
origem_anuncio_zapimoveis,1.0,0.4338006230529595,0.041312320182608296,0.09169208195510421,0.13328101368092551,0.09169208195510421,0.0825140041825537,0.08969328012027727,0.09169208195510421
bairro_joao_paulo_ii,1.0,0.004023883696780893,-0.04646099559611315,-0.0862508294470781,-0.08464320360219887,-0.0862508294470781,-0.06943220904646248,-0.0851863452624894,0.0862508294470781
bairro_industrias,1.0,0.0030503634475597093,-0.04533373283765539,-0.0845497318820701,-0.1111762602841218,-0.0845497318820701,-0.06196052799632279,-0.07176777525128854,0.0845497318820701
status_construcao_nao_informado,1.0,0.9536604361370716,0.04998167383014727,0.08106623712056733,0.08310660208991533,0.08106623712056733,0.038515858266211074,0.044849615022454936,0.08106623712056733
com_gas_canalizado,1.0,0.02109293873312565,0.06200638087739754,0.07985956427193605,0.08040916486614738,0.07985956427193605,0.05765335778788099,0.0712546992700367,0.07985956427193605
com_jardim,1.0,0.040498442367601244,0.05527863546938115,0.07971144943246457,0.07714154911726488,0.07971144943246457,0.008528084974595332,0.017102985552195464,0.07971144943246457
bairro_portal_do_sol,1.0,0.012331256490134996,-0.03926473255455975,-0.07657419440866906,-0.04329208074200754,-0.07657419440866906,-0.05236575256989709,-0.06963864280241583,0.07657419440866906
com_acessibilidade_pne,1.0,0.03186656282450675,0.049927735895729485,0.07571736654924481,0.07500771658844001,0.07571736654924481,0.05793428682509147,0.07094839873259738,0.07571736654924481
bairro_funcionarios,1.0,0.0026609553478712357,-0.03995792711501995,-0.07471305935310217,-0.08212146250768655,-0.07471305935310217,-0.059859094972187686,-0.07194301849008439,0.07471305935310217
