preco_real,preco_previsto,residuo_log,erro_reais,erro_percentual,erro_absoluto_percentual,bairro,origem_anuncio,tipo_unidade,area_util,faixa_preco,faixa_area,campos_ausentes
299999.9999999999,394019.2109069252,0.2726171921000873,94019.21090692532,31.339736968975117,31.339736968975117,jardim_oceania,chaves_na_mao,apartamento_tipo,26.0,Q1 (mais barato),A1 (menor),3
397000.00000000006,498932.87643790594,0.2285352898597175,101932.87643790588,25.675787515845304,25.675787515845304,jardim_oceania,chaves_na_mao,apartamento_tipo,30.0,Q2,A1 (menor),2
420000.00000000023,397922.2692242434,-0.05399802852385527,-22077.73077575682,-5.256602565656383,5.256602565656383,jardim_oceania,ambos,apartamento_tipo,30.0,Q2,A1 (menor),3
375724.00000000035,416393.40044553904,0.10277565624554441,40669.40044553869,10.824275384468027,10.824275384468027,jardim_oceania,chaves_na_mao,apartamento_tipo,32.0,Q2,A1 (menor),2
590000.0000000001,459636.41328156187,-0.24968676586172123,-130363.58671843825,-22.095523172616648,22.095523172616648,jardim_oceania,chaves_na_mao,apartamento_tipo,32.0,Q3,A1 (menor),2
610000.0,424823.5775629955,-0.36178498604209963,-185176.4224370045,-30.356790563443365,30.356790563443365,jardim_oceania,chaves_na_mao,apartamento_tipo,33.0,Q3,A1 (menor),2
299999.9999999999,415760.4542923901,0.3263267887227954,115760.4542923902,38.586818097463414,38.586818097463414,jardim_oceania,chaves_na_mao,apartamento_tipo,34.0,Q1 (mais barato),A1 (menor),3
319999.9999999998,418939.5809801502,0.2694057155927485,98939.58098015038,30.918619056297008,30.918619056297008,jardim_oceania,chaves_na_mao,apartamento_tipo,35.0,Q1 (mais barato),A1 (menor),3
350096.9999999999,448007.5674193877,0.2465998648898431,97910.56741938781,27.966697063781705,27.966697063781705,jardim_oceania,chaves_na_mao,apartamento_tipo,35.0,Q2,A1 (menor),2
319999.9999999998,390349.9835239204,0.19872273456404876,70349.98352392059,21.984369851225193,21.984369851225193,jardim_oceania,chaves_na_mao,apartamento_tipo,37.0,Q1 (mais barato),A1 (menor),3
581999.9999999995,615243.0788264934,0.05554699210870595,33243.07882649382,5.7118692141742,5.7118692141742,jardim_oceania,chaves_na_mao,apartamento_tipo,42.0,Q3,A1 (menor),2
372790.9999999997,424798.3058217515,0.13059654085210504,52007.30582175177,13.950794365140737,13.950794365140737,jardim_oceania,chaves_na_mao,apartamento_tipo,32.0,Q2,A1 (menor),2
995580.9999999995,814130.3992342072,-0.20120593754985805,-181450.6007657923,-18.22559899855385,18.22559899855385,jardim_oceania,chaves_na_mao,apartamento_tipo,45.0,Q4,A1 (menor),2
590000.0000000001,652195.6624244169,0.10022207575013731,62195.66242441675,10.541637699053684,10.541637699053684,jardim_oceania,ambos,apartamento_tipo,54.0,Q3,A2,2
1149840.0000000005,639143.3794287456,-0.5872492710824293,-510696.62057125487,-44.41458120879902,44.41458120879902,jardim_oceania,ambos,apartamento_tipo,55.0,Q5 (mais caro),A2,2
1150000.0,752152.2610504521,-0.4245784431015789,-397847.7389495479,-34.59545556083025,34.59545556083025,jardim_oceania,chaves_na_mao,apartamento_tipo,55.0,Q5 (mais caro),A2,2
