segmento,categoria,n,preco_mediano,vies_percentual,erro_mediano_percentual,mae_reais
faixa_preco,Q5 (mais caro),609,1420000.0000000002,-14.885912171731045,19.661301875995704,447657.581509196
faixa_preco,Q1 (mais barato),618,179998.99999999988,7.561379328395052,17.322117958846704,51003.22863895435
faixa_preco,Q4,620,804023.5000000005,-4.177045677715794,13.729271846275797,144425.61685620903
faixa_preco,Q3,612,589000.0000000002,1.6912218025931494,13.500976088808837,104870.14092089061
faixa_preco,Q2,627,405938.9999999998,7.738868482736915,13.453506823357298,79782.7779216867
faixa_area,A4 (maior),718,1222800.0,-0.5214715562843688,18.2635466910748,370915.71306081285
faixa_area,A3,724,680000.0000000001,0.8462378196821109,15.454270452925016,139299.56484208562
faixa_area,A1 (menor),729,368060.0,-0.42818671868100655,14.945420610343188,72792.8266050284
faixa_area,A2,731,509999.99999999977,-0.8165706210259145,13.450816109411749,96817.13359826375
origem_anuncio,chaves_na_mao,1141,527999.9999999998,0.7887346759301596,15.8330303095715,152060.79032696725
origem_anuncio,zapimoveis,1347,618998.9999999998,-1.634198114391005,15.67306891777331,179708.28416874816
origem_anuncio,ambos,598,629999.9999999999,2.484913526887082,14.177125747805205,154386.70961694475
tipo_unidade,apartamento_tipo,3072,588911.5,-0.10054165081233074,15.299358405170699,164907.60901842106
campos_ausentes,4,362,485572.9999999999,-3.9026747234736696,16.876954701269447,184083.846436141
campos_ausentes,3,998,590000.0000000001,0.0551938630822596,16.730273560489515,168529.23348917323
campos_ausentes,2,1113,620000.0,0.9302887592184709,15.447962676461238,174568.68661416342
campos_ausentes,1,333,639999.9999999998,0.8823618755547791,14.147361686735588,154687.1441433856
campos_ausentes,0,134,649999.9999999998,3.327331966309541,12.593466025223625,134521.35974765514
campos_ausentes,5,134,89446.50000000006,-2.4332543927676524,11.222316050748425,57170.90967636291
bairro,portal_do_sol,35,350000.0000000001,6.7398570598113965,26.51071462049671,154734.36770709697
bairro,brisamar,67,890000.0000000006,-2.4228908771385185,17.743991702638347,199637.68850163254
bairro,tambau,194,780000.0,-0.6901288158503284,17.05615394155089,198030.23974666145
bairro,miramar,98,755500.0000000002,-0.23320660598763848,17.033715514001727,380760.7766778295
bairro,bessa,369,550000.0000000001,0.8471516496710071,17.00046848184593,147443.39050819847
bairro,gramame,157,100186.00000000004,-0.2125808003639922,16.25718304725448,32306.151722417027
bairro,cabo_branco,325,824999.9999999997,-1.2995426132982282,16.05636553694725,244925.71263126936
bairro,estados,83,614999.9999999997,4.165750021653781,15.948308859677626,134958.64258973245
bairro,jardim_oceania,379,760000.0000000007,0.19595347378801692,14.93748400503068,177550.2883282575
bairro,aeroclube,183,619996.9999999998,-2.718711174654444,14.862791112019138,121497.75471545567
bairro,manaira,321,698155.0000000002,-2.0707578667045325,14.700591420790138,164474.27355885456
bairro,bancarios,90,380000.0000000003,2.8044350007695074,14.510364729440397,81642.29328466245
bairro,altiplano,225,860000.0000000003,-0.4865641000541544,14.377183690086767,319468.03442128585
bairro,jardim_cidade_universitaria,70,380600.0,1.668661455867758,13.190284932206268,81540.77135841087
bairro,mangabeira,47,209998.99999999994,3.5571393529806477,13.145431285115613,69134.51733659938
bairro,cristo_redentor,31,275000.00000000006,-5.044027874798955,12.630080839243984,57783.82061831464
bairro,tambauzinho,38,494500.00000000006,4.706587061994271,12.44564654632724,120978.9375187016
bairro,mucumagro,31,83340.0,0.7480630273233692,9.654349767854411,33230.57719767112
