owner_kind,owner_key,amenity_name
property,prop-11053196,party_hall
property,prop-11053196,pool
property,prop-11200455,air_conditioning
property,prop-11200455,bbq_area
property,prop-11200455,laundry
property,prop-11200455,pool
property,prop-11200455,sauna
property,prop-11200455,security_24h
property,prop-11200455,wine_cellar
property,prop-11209911,bbq_area
property,prop-11209911,pool
property,prop-11365156,bbq_area
property,prop-11365156,pool
property,prop-11493234,bbq_area
property,prop-11493234,pool
property,prop-11493236,bbq_area
property,prop-11572097,bbq_area
property,prop-11572097,pool
property,prop-11575865,bbq_area
property,prop-11575865,bike_rack
property,prop-11575865,concierge
property,prop-11575865,coworking
property,prop-11575865,game_room
property,prop-11575865,gourmet_area
property,prop-11575865,gym
property,prop-11575865,intercom
property,prop-11575865,laundry
property,prop-11575865,party_hall
property,prop-11575865,playground
property,prop-11575865,pool
property,prop-11575865,security_24h
property,prop-11734142,concierge
property,prop-11734142,gourmet_area
property,prop-11734142,gym
property,prop-11734142,intercom
property,prop-11734142,party_hall
property,prop-11734142,playground
property,prop-11734142,pool
property,prop-11734142,security_24h
property,prop-11734142,spa
property,prop-11741351,pool
property,prop-11741356,bbq_area
property,prop-11741356,party_hall
property,prop-11741356,pool
property,prop-11741442,bbq_area
property,prop-11741442,pool
property,prop-11741443,bbq_area
property,prop-11741443,gourmet_area
property,prop-11741443,gym
property,prop-11741443,party_hall
property,prop-11741443,playground
property,prop-11741443,pool
property,prop-11741443,sports_court
property,prop-11741445,bbq_area
property,prop-11741445,pool
property,prop-11741633,bbq_area
property,prop-11741633,bike_rack
property,prop-11741633,game_room
property,prop-11741633,gym
property,prop-11741633,party_hall
property,prop-11741633,playground
property,prop-11741633,pool
property,prop-11741633,sports_court
property,prop-11741712,bbq_area
property,prop-11741712,bike_rack
property,prop-11741712,gourmet_area
property,prop-11741712,gym
property,prop-11741712,party_hall
property,prop-11741712,playground
property,prop-11741712,pool
property,prop-11741712,sports_court
property,prop-11741714,game_room
property,prop-11741714,gourmet_area
property,prop-11741714,gym
property,prop-11741714,party_hall
property,prop-11741714,pool
property,prop-11773428,bbq_area
property,prop-11773428,pool
property,prop-11865396,bbq_area
property,prop-11865396,bike_rack
property,prop-11865396,game_room
property,prop-11865396,generator
property,prop-11865396,laundry
property,prop-11865396,party_hall
property,prop-11865396,playground
property,prop-11865396,pool
property,prop-12124439,bbq_area
property,prop-12124439,pool
property,prop-12262805,pool
property,prop-12375515,bbq_area
property,prop-12375515,pool
property,prop-12573022,bike_rack
property,prop-12573022,game_room
property,prop-12573022,pool
property,prop-12573022,sauna
property,prop-12573022,security_24h
property,prop-12573104,concierge
property,prop-12573104,coworking
property,prop-12573104,party_hall
property,prop-12573104,playground
property,prop-12573104,pool
property,prop-12573182,concierge
property,prop-12573182,coworking
property,prop-12573182,party_hall
property,prop-12573182,playground
property,prop-12573182,pool
property,prop-12612606,bbq_area
property,prop-12612606,pool
property,prop-12631642,bike_rack
property,prop-12631642,game_room
property,prop-12631642,pool
property,prop-12631642,sauna
property,prop-12631642,security_24h
property,prop-12655041,bbq_area
property,prop-12655041,concierge
property,prop-12655041,gourmet_area
property,prop-12655041,gym
property,prop-12655041,intercom
property,prop-12655041,laundry
property,prop-12655041,party_hall
property,prop-12655041,pool
property,prop-12655041,security_24h
property,prop-12851987,bbq_area
property,prop-12851987,game_room
property,prop-12851987,generator
property,prop-12851987,party_hall
property,prop-12851987,playground
property,prop-12851987,pool
property,prop-12851987,sports_court
property,prop-12892546,bbq_area
property,prop-12892546,pool
property,prop-13029017,bbq_area
property,prop-13029017,pool
property,prop-13029017,security_24h
property,prop-13104710,concierge
property,prop-13104710,coworking
property,prop-13104710,laundry
property,prop-13329998,bbq_area
property,prop-13329998,pool
property,prop-13335140,concierge
property,prop-13335142,concierge
property,prop-13335142,coworking
property,prop-13335142,playground
property,prop-13335142,sauna
property,prop-13427805,bbq_area
property,prop-13427805,pool
property,prop-13434525,concierge
property,prop-13434525,coworking
property,prop-13434525,playground
property,prop-13501473,bbq_area
property,prop-13501473,concierge
property,prop-13501473,game_room
property,prop-13501473,party_hall
property,prop-13501473,playground
property,prop-13501473,pool
property,prop-13501473,security_24h
property,prop-13501473,sports_court
property,prop-13559718,bbq_area
property,prop-13559718,pool
property,prop-13559728,bbq_area
property,prop-13559728,pool
property,prop-13683222,bbq_area
property,prop-13683222,bike_rack
property,prop-13683222,game_room
property,prop-13683222,gym
property,prop-13683222,party_hall
property,prop-13683222,playground
property,prop-13683222,pool
property,prop-13683222,sports_court
property,prop-13780035,bbq_area
property,prop-13780035,pool
property,prop-13780053,bbq_area
property,prop-13780053,concierge
property,prop-13780053,game_room
property,prop-13780053,party_hall
property,prop-13780053,playground
property,prop-13780053,security_24h
property,prop-13780053,sports_court
property,prop-13949953,bike_rack
property,prop-13949953,game_room
property,prop-13949953,gourmet_area
property,prop-13949953,gym
property,prop-13949953,party_hall
property,prop-13949953,playground
property,prop-13949953,pool
property,prop-13949953,security_24h
property,prop-13949953,sports_court
property,prop-13975002,bbq_area
property,prop-13975002,pool
property,prop-14113607,party_hall
property,prop-14113607,pool
property,prop-14113607,security_24h
property,prop-14185883,pool
property,prop-14251924,bbq_area
property,prop-14251924,pool
property,prop-14256076,concierge
property,prop-14256076,coworking
property,prop-14256076,playground
property,prop-14256076,sauna
property,prop-14277138,bbq_area
property,prop-14277138,pool
property,prop-14323118,bbq_area
property,prop-14323118,party_hall
property,prop-14323118,pool
property,prop-14359046,air_conditioning
property,prop-14359046,bbq_area
property,prop-14359046,game_room
property,prop-14359046,gourmet_area
property,prop-14359046,gym
property,prop-14359046,intercom
property,prop-14359046,party_hall
property,prop-14359046,playground
property,prop-14359046,pool
property,prop-14359046,security_24h
property,prop-14359821,party_hall
property,prop-14359821,pool
property,prop-14390559,laundry
property,prop-14390559,pool
property,prop-14390559,security_24h
property,prop-14390569,laundry
property,prop-14390569,pool
property,prop-14390569,security_24h
property,prop-14390575,laundry
property,prop-14390575,pool
property,prop-14390575,security_24h
property,prop-14391046,bbq_area
property,prop-14391046,pool
property,prop-14500615,bbq_area
property,prop-14500615,bike_rack
property,prop-14500615,game_room
property,prop-14500615,gourmet_area
property,prop-14500615,gym
property,prop-14500615,intercom
property,prop-14500615,party_hall
property,prop-14500615,playground
property,prop-14500615,pool
property,prop-14500615,security_24h
property,prop-14500615,sports_court
property,prop-14507550,bike_rack
property,prop-14507550,game_room
property,prop-14507550,gourmet_area
property,prop-14507550,gym
property,prop-14507550,intercom
property,prop-14507550,party_hall
property,prop-14507550,pool
property,prop-14507550,security_24h
property,prop-14544967,bbq_area
property,prop-14544967,pool
property,prop-14560124,air_conditioning
property,prop-14560124,intercom
property,prop-14560124,security_24h
property,prop-14561179,bbq_area
property,prop-14561179,concierge
property,prop-14561179,game_room
property,prop-14561179,party_hall
property,prop-14561179,playground
property,prop-14561179,security_24h
property,prop-14561179,sports_court
property,prop-14579118,game_room
property,prop-14579118,gourmet_area
property,prop-14579118,gym
property,prop-14579118,party_hall
property,prop-14579118,playground
property,prop-14579118,pool
property,prop-14579118,security_24h
property,prop-14579118,sports_court
property,prop-14586434,bbq_area
property,prop-14586434,pool
property,prop-14603600,air_conditioning
property,prop-14603600,bike_rack
property,prop-14603600,coworking
property,prop-14603600,game_room
property,prop-14603600,gourmet_area
property,prop-14603600,party_hall
property,prop-14603600,playground
property,prop-14603600,pool
property,prop-14603600,security_24h
property,prop-14648685,bbq_area
property,prop-14648685,pool
property,prop-14648733,bbq_area
property,prop-14781025,air_conditioning
property,prop-14781025,bike_rack
property,prop-14781025,game_room
property,prop-14781025,gym
property,prop-14781025,intercom
property,prop-14781025,party_hall
property,prop-14781025,playground
property,prop-14781025,pool
property,prop-14781025,security_24h
property,prop-14885522,bbq_area
property,prop-14885522,pool
property,prop-14885522,security_24h
property,prop-14908359,bbq_area
property,prop-14908359,pool
property,prop-14908433,bbq_area
property,prop-14908433,gourmet_area
property,prop-14908433,pool
property,prop-14922297,bbq_area
property,prop-14922297,pool
property,prop-14954412,bbq_area
property,prop-14954412,pool
property,prop-14970486,coworking
property,prop-14970486,laundry
property,prop-14970486,playground
property,prop-15069183,concierge
property,prop-15069183,coworking
property,prop-15069183,laundry
property,prop-15069184,concierge
property,prop-15069184,coworking
property,prop-15069184,playground
property,prop-15072030,air_conditioning
property,prop-15072030,bbq_area
property,prop-15072030,bike_rack
property,prop-15072030,game_room
property,prop-15072030,gourmet_area
property,prop-15072030,gym
property,prop-15072030,party_hall
property,prop-15072030,playground
property,prop-15072030,pool
property,prop-15072030,security_24h
property,prop-15072030,sports_court
property,prop-15104026,bbq_area
property,prop-15104026,pool
property,prop-15178896,concierge
property,prop-15178896,coworking
property,prop-15226118,bbq_area
property,prop-15226118,pool
property,prop-15226126,bbq_area
property,prop-15226126,pool
property,prop-15236172,bbq_area
property,prop-15236172,bike_rack
property,prop-15236172,game_room
property,prop-15236172,gourmet_area
property,prop-15236172,gym
property,prop-15236172,intercom
property,prop-15236172,party_hall
property,prop-15236172,pool
property,prop-15236172,security_24h
property,prop-15247149,bbq_area
property,prop-15247149,pool
property,prop-15309932,pool
property,prop-15355801,bbq_area
property,prop-15355801,pool
property,prop-15355806,pool
property,prop-15377612,bbq_area
property,prop-15377612,pool
property,prop-15484678,bbq_area
property,prop-15484678,pool
property,prop-15484680,pool
property,prop-15540445,bbq_area
property,prop-15540445,pool
property,prop-15704218,bbq_area
property,prop-15704218,game_room
property,prop-15704218,gourmet_area
property,prop-15704218,gym
property,prop-15704218,intercom
property,prop-15704218,party_hall
property,prop-15704218,pool
property,prop-15704218,security_24h
property,prop-15739629,bbq_area
property,prop-15739629,bike_rack
property,prop-15739629,concierge
property,prop-15739629,game_room
property,prop-15739629,gourmet_area
property,prop-15739629,gym
property,prop-15739629,intercom
property,prop-15739629,laundry
property,prop-15739629,party_hall
property,prop-15739629,playground
property,prop-15739629,pool
property,prop-15739629,security_24h
property,prop-15739629,sports_court
property,prop-15830697,bbq_area
property,prop-15830697,pool
property,prop-16038142,bbq_area
property,prop-16038142,bike_rack
property,prop-16038142,coworking
property,prop-16038142,game_room
property,prop-16038142,gourmet_area
property,prop-16038142,gym
property,prop-16038142,intercom
property,prop-16038142,party_hall
property,prop-16038142,playground
property,prop-16038142,pool
property,prop-16038142,security_24h
property,prop-16038142,sports_court
property,prop-16082963,bbq_area
property,prop-16082963,pool
property,prop-16319214,bbq_area
property,prop-16319214,pool
property,prop-16478288,bbq_area
property,prop-16478288,concierge
property,prop-16478288,game_room
property,prop-16478288,party_hall
property,prop-16478288,playground
property,prop-16478288,security_24h
property,prop-16478288,sports_court
property,prop-16512930,pool
property,prop-16590932,bbq_area
property,prop-16590932,pool
property,prop-16850954,bbq_area
property,prop-16850954,pool
property,prop-16875543,bbq_area
property,prop-16875543,pool
property,prop-16893956,bbq_area
property,prop-16893956,pool
property,prop-17103622,bbq_area
property,prop-17103622,laundry
property,prop-17103622,security_24h
property,prop-17144187,air_conditioning
property,prop-17144187,bbq_area
property,prop-17144187,game_room
property,prop-17144187,gourmet_area
property,prop-17144187,gym
property,prop-17144187,intercom
property,prop-17144187,party_hall
property,prop-17144187,playground
property,prop-17144187,pool
property,prop-17144187,security_24h
property,prop-17194679,pool
property,prop-17220912,concierge
property,prop-17220912,playground
property,prop-17381490,game_room
property,prop-17381490,gym
property,prop-17381490,party_hall
property,prop-17381490,pool
property,prop-17381490,security_24h
property,prop-17486960,pool
property,prop-17588829,concierge
property,prop-17588829,coworking
property,prop-17588829,laundry
property,prop-17589870,concierge
property,prop-17589870,game_room
property,prop-17589870,intercom
property,prop-17589870,party_hall
property,prop-17589870,pool
property,prop-17594757,concierge
property,prop-17594757,generator
property,prop-17594757,gourmet_area
property,prop-17594757,gym
property,prop-17594757,intercom
property,prop-17594757,laundry
property,prop-17594757,pool
property,prop-17594757,security_24h
property,prop-17594795,bbq_area
property,prop-17594795,concierge
property,prop-17594795,game_room
property,prop-17594795,generator
property,prop-17594795,gourmet_area
property,prop-17594795,gym
property,prop-17594795,intercom
property,prop-17594795,party_hall
property,prop-17594795,playground
property,prop-17594795,pool
property,prop-17594795,security_24h
property,prop-17595017,intercom
property,prop-17595017,pool
property,prop-17595017,security_24h
property,prop-17598950,pool
property,prop-17616049,bike_rack
property,prop-17616049,game_room
property,prop-17616049,gym
property,prop-17616049,party_hall
property,prop-17616049,playground
property,prop-17616049,pool
property,prop-17616049,security_24h
property,prop-17629443,bbq_area
property,prop-17629443,pool
property,prop-17639980,concierge
property,prop-17639980,coworking
property,prop-17639980,playground
property,prop-17716445,pool
property,prop-17718023,bbq_area
property,prop-17718023,bike_rack
property,prop-17718023,game_room
property,prop-17718023,gourmet_area
property,prop-17718023,gym
property,prop-17718023,party_hall
property,prop-17718023,playground
property,prop-17718023,pool
property,prop-17718023,sauna
property,prop-17778591,bbq_area
property,prop-17778591,pool
property,prop-17778618,pool
property,prop-17807711,bbq_area
property,prop-17807711,pool
property,prop-17842122,bbq_area
property,prop-17842122,pool
property,prop-17842122,security_24h
property,prop-17842784,air_conditioning
property,prop-17842784,bbq_area
property,prop-17842784,game_room
property,prop-17842784,gym
