feature,importancia,desvio,significativa,spearman_abs,posto_importancia,posto_correlacao,salto_de_posto
com_playground,0.0003748741925791277,0.00011043808511078351,True,0.1739655297251559,69,26,-43
bairro_brisamar,0.0003476799136069075,0.0001356481949297848,True,0.0927283391626726,70,64,-6
com_dependencia_empregados,0.0002699773727907806,0.00011426969554296564,True,0.1866472070426303,71,19,-52
bairro_portal_do_sol,0.0002697351657635183,5.814779068415745e-05,True,0.073617647218158,72,73,1
status_construcao_pronto_para_morar,0.00021259542875191607,5.498896017398433e-05,True,0.0403401540698908,73,93,20
com_conexao_a_internet,0.00018227241660024874,3.745463677426016e-05,True,0.0554144249136114,74,86,12
com_escada,0.00016786025831354577,0.0001304605089698548,False,0.0146592910731315,75,109,34
com_espaco_gourmet,0.00016719759391164434,6.286105584498037e-05,True,0.1063611578776449,76,53,-23
com_ambientes_integrados,0.00014886079009148733,0.00017816784826601753,False,0.0162622390044766,77,107,30
com_brinquedoteca_kids,0.00014345716312869628,6.0468338121542325e-05,True,0.1697282918142203,78,28,-50
com_area_de_lazer,0.00013799377288905011,5.6334975247389254e-05,True,0.0532815908968261,79,90,11
com_lavabo,0.00013379538012441293,9.845807542979495e-05,False,0.2280665965903069,80,10,-70
bairro_jaguaribe,0.00012885955375353532,0.00011939467303180203,False,0.0487601738971553,81,91,10
com_alarme,0.00012762183327525434,5.954391694647635e-05,True,0.1402480473417598,82,35,-47
com_tanque_de_lavar_roupa,0.00011930609533312154,9.249693916233087e-05,False,0.023208321522189,83,104,21
bairro_estados,0.00010889366630980612,3.426912991400911e-05,True,0.0220827900418324,84,105,21
com_sala_de_jantar,0.00010508584018665834,8.352494868352325e-05,False,0.0602148786546006,85,81,-4
com_box_blindex,7.080095969747569e-05,2.091982357094194e-05,True,0.0414828642507172,86,92,6
com_gas_canalizado,6.785562991635242e-05,1.8050576302288035e-05,True,0.0786011344838801,87,71,-16
bairro_pedro_gondim,6.40529256093425e-05,3.779146507562031e-05,False,0.0098139809956821,88,114,26
com_deposito,5.1549004646589405e-05,2.7185424985164256e-05,False,0.1208391077117509,89,46,-43
bairro_tambauzinho,4.640111779738443e-05,0.0001321287919243748,False,0.0135288004214588,90,111,21
com_teto_em_gesso,4.15342183021139e-05,4.756815687461615e-05,False,0.0193870882215339,91,106,15
posicao_solar_nascente,3.709128421319763e-05,8.76021832131857e-06,True,0.0133500416973963,92,112,20
com_sala_grande,3.330318283146782e-05,2.7683338167298643e-05,False,0.0585183350510216,93,83,-10
com_acessibilidade_pne,3.1195478877699134e-05,5.304741919257329e-05,False,0.0747684918194763,94,72,-22
com_tv_a_cabo,2.9941726175586324e-05,1.4213925549713711e-05,True,0.0674404822721453,95,77,-18
com_janela_grande,2.5992195941781925e-05,2.443184182993916e-05,False,0.0395460250979821,96,94,-2
com_rede_de_tratamento_de_esgoto,2.554906847896943e-05,6.075658683580936e-06,True,0.0549041717651703,97,87,-10
com_despensa,2.1650504463677223e-05,1.8106425557529e-05,False,0.1286406980200826,98,41,-57
com_lounge,1.7484603944917244e-05,9.755202533852569e-06,False,0.0394597864147122,99,95,-4
com_sala_de_massagem,1.6182334639391893e-05,6.112467206180624e-05,False,0.0971780399886389,100,62,-38
