feature,importancia,desvio,significativa
bairro,0.21598411959893568,0.0033046093979221826,True
area_util,0.2057515847980574,0.00414966876982017,True
garagens,0.07018619916519805,0.003062383714732466,True
suites,0.02091125835114321,0.0012292919292882607,True
condominio,0.013700314244424699,0.0014259206816882874,True
venda_direta,0.01319101520374594,0.0009634814803269684,True
origem_anuncio,0.012495003515712949,0.0011299065287734705,True
quartos,0.009605496128082475,0.0007839291112705402,True
area_total,0.008386188122452565,0.0005650126651916203,True
banheiros,0.008255564132217485,0.00092206900714549,True
com_piso_ceramica,0.004215038358227038,0.0007772754014716801,True
com_varanda_gourmet,0.0035274118217841766,0.0006895845976106696,True
com_elevador,0.0024633471726688725,0.0004158787438827596,True
com_vista_ou_acesso_praia,0.002190613848122444,0.0003389079512877147,True
com_piso_porcelanato,0.0015386193212102634,0.00038307123227020965,True
com_sauna,0.0012838807677804265,0.00035284602372436387,True
com_academia,0.0011627567431088865,0.000372378517803591,True
com_salao_de_jogos,0.001080637691479061,0.0003247963181062303,True
com_moveis_armarios_planejados,0.000970790992880402,0.00021967231072575862,True
com_wc_social,0.0009690358404165267,0.00036790666779446993,True
com_piscina,0.0009478065548167963,0.00020868080651813368,True
com_box_no_banheiro,0.0009391734916673417,0.0002228800987247374,True
iptu,0.0008840224294290238,0.00030571991692697833,True
com_coworking_escritorio,0.0008298680832485611,0.0002188852382362155,True
com_permitido_pets,0.0007329808800423082,0.0002221350527060405,True
com_varanda,0.0007185641852018448,0.0002662373428360704,True
com_predio_pastilhado,0.0007103600568504981,0.00017771725361426395,True
com_ambientes_integrados,0.0006487839059406225,0.00018650905469766828,True
com_area_de_servico,0.0006284837160893203,0.000145336342144173,True
com_playground,0.0005471819168983511,9.378714905606959e-05,True
com_interfone,0.0005121727609420423,0.0001691138213045708,True
com_salao_de_festas,0.0005028375770404325,0.00018607947805882033,True
com_lavanderia,0.0004238460745027206,0.00011953674308696716,True
com_sala_de_jantar,0.00040932019465266813,0.0003282126901688384,False
com_mobiliado,0.0003529701513598271,0.00018174878647879997,False
com_dependencia_empregados,0.00031551213689416104,0.00015448708318160136,True
com_condominio_fechado,0.00031282005121546774,0.00010111768544449244,True
com_cozinha,0.00031093361060126334,0.00039751767822648963,False
com_escada,0.00030804462885958837,0.00012864810545190153,True
com_jardim,0.00025980701213609294,0.00020780295453986885,False
com_churrasqueira,0.0002550748231881922,0.00015044866666286675,False
com_quadra_esportiva,0.00024688447595193894,8.025503364644426e-05,True
com_brinquedoteca_kids,0.000246841222861513,0.00016091183320419178,False
status_construcao,0.0002357887154898819,0.0001861412062176912,False
posicao_solar,0.00022496293727790605,0.00010489219385998934,True
com_spa_hidromassagem,0.00020082959547182145,0.00018578624997979466,False
com_bicicletario,0.0001753902404481672,0.00017532198077837327,False
com_lounge,0.00016560208255466668,7.011143907435688e-05,True
com_lavabo,0.00014569714954588143,7.307970211188112e-05,False
com_espaco_gourmet,0.00012717764955619547,5.8532574267931346e-05,True
com_janela_aluminio,0.0001208829647474513,0.0001448411460498927,False
com_portaria_seguranca_24h,0.00011512649085874682,0.00017668700691926805,False
com_deposito,0.00011318522228984663,4.3959448961958604e-05,True
com_copa,8.708557026262664e-05,3.530773891986222e-05,True
com_rede_de_tratamento_de_esgoto,7.621761295023288e-05,5.438295392378505e-05,False
com_ar_condicionado,6.364077849892736e-05,0.00019106698711594968,False
com_despensa,4.986415518999088e-05,3.766193648995992e-05,False
com_teto_em_gesso,4.703115781659884e-05,3.519198453993204e-05,False
com_acessibilidade_pne,4.0723172927292775e-05,5.058482347736357e-05,False
com_sala_grande,2.674214923101825e-05,4.468034300567034e-05,False
com_box_blindex,1.6874438969161078e-05,4.5563098636917336e-05,False
tipo_unidade,1.361296974577153e-05,2.1312739563627538e-05,False
com_gas_canalizado,1.0889800829483321e-05,2.232132972830309e-05,False
com_vista_panoramica,4.904581078807313e-06,2.1265733828417747e-05,False
com_area_de_lazer,-1.668585935419853e-05,4.4655836388975275e-05,False
com_closet,-2.3613132478983444e-05,3.460779126113785e-05,False
com_janela_grande,-2.3868295647880288e-05,1.5847774589490147e-05,False
com_tv_a_cabo,-2.502899570782091e-05,4.212647885249628e-05,False
com_salao_multiuso,-2.687726859252615e-05,4.345191658242998e-05,False
com_gerador_de_energia,-3.162311158425024e-05,4.472008207227706e-05,False
com_conexao_a_internet,-3.214181042758002e-05,3.096293161859122e-05,False
com_sala_de_massagem,-3.244724640970864e-05,4.9976804359798274e-05,False
com_tanque_de_lavar_roupa,-4.319830486007314e-05,0.00012915506163154464,False
com_hall_de_entrada,-7.013889334454016e-05,1.7949950913254172e-05,False
com_ventilacao_natural,-8.765441725912815e-05,8.121408766188356e-05,False
com_alarme,-0.0001032516031765518,0.00011708835816746536,False
