id,title,subtype,transaction,price_sale,price_rent,area_m2,bedrooms,bathrooms,parking_spots,iptu_year,condo_fee,pets_allowed,accepts_financing,year_built,floor,has_elevator,has_balcony,furnished,neighborhood,condominium,builder,built_year
prop-36976083,"Apartamento com 5 quartos à venda na Rua Ovídio Mendonça, Miramar, João Pessoa",Apartment,sale,3500000,,426.0,5,6,6,,,false,,,,false,false,false,Miramar,,,
prop-25711095,"Apartamento com 3 dormitórios à venda, 78 m² por R$ 730.000,00 - Jardim Oceania - João Pessoa/PB",Apartment,sale,730000,,78.0,3,2,2,,,false,,,,true,true,false,Jardim Oceania,,,
prop-34707905,Apartamento Venda Manaira com 03 quartos muito bem localizado,Apartment,sale,680000,,132.0,3,4,1,,,false,,,,true,true,false,Manaíra,,,
prop-29875832,"Amplo Apartamento Pé na Areia de 71m2 com 2 Quartos Mobiliado e Projetado,",Apartment,sale,1150000,,71.0,2,2,1,,,false,,,,false,true,true,Jardim Oceania,,,
prop-44282888,"Vendo aptos em Manaíra, com excelente localização: 2 quartos ou 3 quartos s/ 2 suítes, 1 ou 2 vagas",Apartment,sale,649000,,62.0,2,2,1,,,false,,,,false,true,false,Manaíra,,,
prop-18298397,Apartamentos Para Vender com 2 ou 3 quartos no bairro Jardim Oceania em João Pessoa,Apartment,sale,1314000,,108.0,2,2,1,,,true,,,,true,false,false,Jardim Oceania,,,
prop-43445141,"Imóvel com excelente proposta — Apartamento no Jardim Veneza, Joao Pessoa - PB, Apto 405, 2 quartos, 1 vaga, 42,95m² | Venda Direta Online",Apartment,sale,79344,,42.0,2,1,1,,,false,,,,false,false,false,Jardim Veneza,,,
prop-43416833,"Apartamento com 3 dormitórios à venda, 82 m² por R$ 692.000,00 - Tambaú - João Pessoa/PB",Apartment,sale,692000,,82.0,3,3,2,,,false,,,,true,false,false,Tambaú,,,
prop-32115084,"Apartamento com 3 quartos à venda na Rua Presidente Venceslau Braz, Bessa, João Pessoa",Apartment,sale,860000,,60.0,3,2,1,,,false,,,,false,false,false,Bessa,,,
prop-30647089,Ocean Beach - APARTAMENTO BEIRA MAR/ APARTAMENTO NO OCEAN BEACH/ APARTAMENTO EM JOAO PESSOA/ APARTAMENTO COM 3 QUARTOS/ APARTAMENTO COM AREA DE LAZER/ APARTAMENTO NO BESSA,Apartment,sale,850000,,77.0,3,3,2,,,false,,,,true,true,false,Bessa,,,
prop-42118357,"Versatilidade, conforto e localização estratégica no Jardim Oceania",Apartment,sale,415000,,42.0,2,2,1,,,false,,,,true,true,false,Jardim Oceania,,,
prop-31595104,"Apartamento com 3 quartos à venda na Avenida Cabo Branco, 1870, Cabo Branco, João Pessoa",Apartment,sale,1200000,,60.0,3,3,2,,,false,,,,false,true,false,Cabo Branco,,,
prop-43445908,"Negócio vantajoso — Apartamento no Paratibe, Joao Pessoa - PB, Apto 401, 2 quartos, 1 vaga, 48,02m² | Venda Direta Online",Apartment,sale,93629,,48.0,2,1,1,,,false,,,,false,false,false,Paratibe,,,
prop-21144555,"Apartamento com 2 dormitórios à venda, 65 m² por R$ 449.000,00 - Bancários - João Pessoa/PB",Apartment,sale,449000,,65.0,2,1,0,,,false,,,,true,false,false,Bancários,,,
prop-31624788,"Apartamento com 2 Suítes e Varanda Vista Mar, na Beira Mar do Jardim Oceania",Apartment,sale,619000,,50.0,2,2,1,,,false,,,,true,true,false,Jardim Oceania,,,
prop-30528301,"Apartamento com 2 dormitórios à venda por R$ 180.000,00 - Planalto Boa Esperança - João Pessoa/PB",Apartment,sale,180000,,55.0,2,2,1,,,false,,,,false,false,false,Planalto Boa Esperança,,,
prop-45014169,"Excelente custo-benefício — Apartamento no Paratibe, Joao Pessoa - PB, Apto 202, 2 quartos, 1 vaga, 42,27m² | Venda Online",Apartment,sale,86941,,42.0,2,1,1,,,false,,,,false,true,false,Paratibe,,,
prop-43833882,"Apartamento à venda, 110 m² por R$ 669.999,00 - Jardim Oceania - João Pessoa/PB",Apartment,sale,669999,,110.0,2,2,1,,,false,,,,true,false,false,Jardim Oceania,,,
prop-6488700,"Apartamento com 2 dormitórios à venda por R$ 120.000,00 - Gramame - João Pessoa/PB",Apartment,sale,120000,,45.0,2,1,1,,,false,,,,false,false,false,Gramame,,,
