url_anuncio,preco_venda,area_util,area_total,quartos,suites,banheiros,garagens,posicao_solar,status_construcao,tipo_unidade,origem_anuncio,bairro,condominio,iptu,com_piscina,com_academia,com_cozinha,com_wc_social,com_elevador,com_salao_de_festas,com_espaco_gourmet,com_lavanderia,com_area_de_servico,com_varanda,com_coworking_escritorio,com_vaga_garagem,com_churrasqueira,com_bicicletario,com_playground,com_salao_de_jogos,com_portaria_seguranca_24h,com_brinquedoteca_kids,com_vista_ou_acesso_praia,com_moveis_armarios_planejados,com_lounge,com_interfone,com_piso_porcelanato,com_ar_condicionado,com_quadra_esportiva,com_sala_de_jantar,com_condominio_fechado,com_alarme,com_varanda_gourmet,com_piso_ceramica,com_permitido_pets,com_jardim,com_sauna,com_gerador_de_energia,com_hall_de_entrada,com_predio_pastilhado,com_spa_hidromassagem,com_acessibilidade_pne,com_mobiliado,com_teto_em_gesso,com_lavabo,com_box_no_banheiro,com_janelas_em_aluminio,com_area_de_lazer,com_banheiro_funcionariao,com_gas_canalizado,com_tanque_de_lavar_roupa,com_copa,com_closet,com_rede_de_tratamento_de_esgoto,com_ambientes_integrados,com_despensa,com_salao_multiuso,com_sala_de_massagem,com_dependencia_empregados,com_deposito,com_vista_panoramica,com_tv_a_cabo,com_box_blindex,com_conexao_a_internet,com_escada,com_janela_de_aluminio,com_janela_grande,com_sala_grande,com_ventilacao_natural
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pb-joao-pessoa-mucumagro-46m2-RS120000/id-38814324/,120000.0,46.0,46.0,2.0,,1.0,1.0,norte,na_planta,apartamento_tipo,chaves_na_mao,mucumagro,,,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pb-joao-pessoa-cabo-branco-60m2-RS897750/id-38814379/,897750.0,60.0,60.0,2.0,1.0,1.0,1.0,nao_informado,nao_informado,apartamento_tipo,chaves_na_mao,cabo_branco,,,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-pb-joao-pessoa-mucumagro-RS130000/id-33420450/,130000.0,48.0,,1.0,,1.0,1.0,nao_informado,nao_informado,apartamento_tipo,chaves_na_mao,mangabeiras,,,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-pb-joao-pessoa-manaira-76m2-RS540000/id-37433563/,540000.0,76.0,76.0,3.0,1.0,2.0,1.0,nao_informado,nao_informado,apartamento_tipo,chaves_na_mao,manaira,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-pb-joao-pessoa-manaira-86m2-RS700000/id-43634148/,700000.0,86.0,86.0,3.0,1.0,1.0,2.0,nao_informado,nao_informado,apartamento_tipo,ambos,manaira,,,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-4-quartos-com-garagem-pb-joao-pessoa-cabo-branco-RS1490000/id-35730761/,1490000.0,192.0,,4.0,2.0,4.0,1.0,nao_informado,nao_informado,apartamento_tipo,ambos,cabo_branco,0.0,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-pb-joao-pessoa-jardim-oceania-65m2-RS760000/id-38880456/,760000.0,65.0,65.0,2.0,1.0,2.0,0.0,nao_informado,nao_informado,apartamento_tipo,ambos,jardim_oceania,0.0,,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-pb-joao-pessoa-tambau-24m2-RS578000/id-44282838/,578000.0,24.0,24.0,1.0,,1.0,1.0,nao_informado,nao_informado,apartamento_tipo,chaves_na_mao,tambau,,,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-pb-joao-pessoa-manaira-32m2-RS310275/id-26383741/,310275.0,32.0,32.0,1.0,1.0,2.0,1.0,nao_informado,nao_informado,apartamento_tipo,chaves_na_mao,manaira,,,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pb-joao-pessoa-mucumagro-97m2-RS71080/id-44837684/,71080.0,48.0,97.0,2.0,,1.0,1.0,nao_informado,nao_informado,apartamento_tipo,chaves_na_mao,telegrafista,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
