modelo,cv_mae_log_pca_media,cv_mae_log_pca_desvio,n_componentes_pca,cv_mae_log_media,diferenca,piorou
gradient_boosting_ajustado,0.2413299443348001,0.0033755337595999958,50,0.1988410761300129,0.0424888682047872,True
ridge,0.32395225900271524,0.004994396975206355,50,0.2551185691219204,0.06883368988079486,True
ols,0.3239624095556877,0.005002183858792566,50,0.2551256715350575,0.06883673802063023,True
knn,0.3341265771413619,0.006280324229376785,69,0.3202204158096366,0.013906161331725286,True
arvore_decisao,0.3725596683846763,0.005094028013617799,50,0.2845618071596364,0.08799786122503989,True
mlp,0.4077388007434908,0.00688102101016067,69,0.316222289242669,0.0915165115008218,True
