modelo,cv_mae_log_media,cv_mae_log_desvio,mae_reais_treino,rmse_reais_treino,mae_log_treino,r2_log_treino,erro_percentual_mediano_treino,mae_reais_teste,rmse_reais_teste,mae_log_teste,r2_log_teste,erro_percentual_mediano_teste
gradient_boosting_ajustado,0.19884107613001295,0.003003866243377614,104477.54081964464,227633.8162036143,0.13718690214975693,0.9483689248254945,10.384193112047054,170149.70551230977,391436.65642567596,0.20024323731534593,0.8971550650200614,15.604381560616055
gradient_boosting,0.207599492153851,0.005577035553976984,149753.4763545372,362043.8392866489,0.1872982979757887,0.9076899084246403,14.474028664006127,172891.8250400524,428490.4597195016,0.20685434943119468,0.8921774799398291,16.113344890550863
ridge,0.25511856912192044,0.002189650735702286,217007.94214642074,1068529.0364610082,0.2476572684328547,0.8440371387927583,19.67004008705909,249199.72765147532,1819048.8592340848,0.24901319328289764,0.8440845186682262,19.12775737729645
ols,0.25512567153505755,0.002158581893945168,216881.93898820915,1064494.050668108,0.24765726555497222,0.844059160831513,19.6320865651053,249117.88217599364,1815306.7043981622,0.24911007975090282,0.8440788957361355,19.081592191434652
arvore_decisao,0.2845618071596364,0.0039844061506490785,2153.0644145798915,17697.856863354937,0.0073066042268698705,0.997743360046486,0.0,244051.05410256106,557433.0768054081,0.2811709134979263,0.7798958017598385,20.00000000000003
mlp,0.31622228924266904,0.008136509052769027,114351.54946696364,235273.33189051668,0.14423246707249604,0.9375501418587943,10.701589954422166,286046.515752221,1109989.7755615606,0.29552929572479464,0.746047512442126,20.77661349049774
knn,0.3202204158096366,0.0063790355622794295,2192.009747887283,17738.661383267758,0.007882264792793907,0.9973761848495204,0.0,269181.78352903854,602290.6581517617,0.3281873334493294,0.7154042825352764,23.821788059848235
baseline_mediana,0.6183091023573468,0.0023549911934225938,414396.45316849515,785295.2387407264,0.6183088706823245,-0.005095196396745605,41.99695470924601,443792.5911888565,888426.9085438832,0.626566186227924,-0.002316337224177234,43.100102616021836
