modelo,cv_mae_log_media,cv_mae_log_desvio,mae_reais,rmse_reais,mae_log,r2_log,erro_percentual_mediano
gradient_boosting_ajustado,0.20015113529726802,0.0028476549716203873,169450.54262638296,390021.084837174,0.20040098616814678,0.8972066787102119,15.507219329527002
gradient_boosting,0.20873925557375092,0.004356300428871571,172856.49699521268,425899.52682173613,0.20702869668217522,0.8922096239881342,16.22190428486948
ridge,0.25531768583121583,0.004493881529222437,249199.72765147485,1819048.8592340907,0.2490131932828972,0.8440845186682265,19.12775737729412
mlp,0.31160173322039847,0.009132745614942431,286046.5157522286,1109989.7755616587,0.29552929572479697,0.746047512442122,20.77661349050281
baseline_mediana,0.6183093437451906,0.009654092271248478,443792.5911888565,888426.9085438832,0.626566186227924,-0.002316337224177234,43.100102616021836
