feature,cobertura,media,pearson_preco_venda,spearman_preco_venda,pearson_log_preco,spearman_log_preco,pearson_preco_m2,spearman_preco_m2,forca
area_util,0.934661302880872,83.38986463033669,0.724323260812863,0.6904757497140865,0.578011564982387,0.6904757497140865,-0.09727773746644199,-0.10916228523341119,0.6904757497140865
suites,0.5367895146638982,1.4310407349208267,0.6596683370924101,0.6363782652077775,0.6396423698664327,0.6363782652077775,0.19184891520338346,0.25211922506663287,0.6363782652077775
area_total,0.3976122501946535,86.6071426240209,0.33936039151342184,0.6294728693844219,0.2605928188709546,0.6294728693844219,-0.00778449674491902,0.01654747576112942,0.6294728693844219
garagens,0.954840384116273,1.3674232128295734,0.6816741912158015,0.6178905880415453,0.569141564803116,0.6178905880415453,0.08161093970901896,0.13138690112319065,0.6178905880415453
banheiros,0.9837788736049832,2.001187178472497,0.5839838040628144,0.5280863609402182,0.5526885982305911,0.5280863609402182,-0.0012254595972943326,-0.0029341100240832707,0.5280863609402182
quartos,0.9920192058136517,2.3318725881352607,0.47975430452612966,0.4983327184488192,0.4554436775522839,0.4983327184488192,-0.2595436076379023,-0.21491720503220227,0.4983327184488192
bairro_gramame,1.0,0.04905268621853102,-0.1860747035137137,-0.34816841776823126,-0.44964295379756675,-0.34816841776823126,-0.2556896705693904,-0.29761644246117636,0.34816841776823126
condominio,0.47910718920321826,440.62378114842903,0.23453828328593493,0.3189880825482772,0.28369180961660584,0.3189880825482772,-0.05095070096478307,-0.05870329448228413,0.3189880825482772
com_lavabo,1.0,0.041136776537762786,0.2354790495652211,0.22729225626997188,0.2223694801330272,0.22729225626997188,0.06344617484736682,0.08195895100637443,0.22729225626997188
iptu,0.20484038411627303,446.59803611023125,0.06531821055405626,0.22130421934540512,0.07740524333952102,0.22130421934540512,-0.018001613617810396,-0.02841434652632834,0.22130421934540512
com_vista_ou_acesso_praia,1.0,0.09226576693485596,0.17419303452320006,0.21721817926595952,0.208979320911041,0.21721817926595952,0.1659553435002775,0.18768539509014528,0.21721817926595952
com_varanda_gourmet,1.0,0.1458603685439917,0.16541376643171743,0.21419680889296036,0.21210998065187042,0.21419680889296036,0.13385381238842395,0.16658847416833064,0.21419680889296036
com_varanda,1.0,0.2694004671684402,0.1262507933795211,0.2118628688853571,0.20959420850377974,0.2118628688853571,0.0384289482020162,0.071733953154203,0.2118628688853571
com_salao_de_jogos,1.0,0.10465870750064885,0.15617216218779365,0.20991575731199727,0.1945186061480842,0.20991575731199727,0.11767613096884433,0.14500616389854984,0.20991575731199727
com_piscina,1.0,0.3021022579807942,0.1243880820864428,0.20160099612940252,0.20317940126717676,0.20160099612940252,0.09786434567145494,0.1266421566231992,0.20160099612940252
bairro_cabo_branco,1.0,0.10641058915131067,0.14859477919090885,0.19847810027874882,0.1954517526106089,0.19847810027874882,0.36732231316447034,0.32475032274527754,0.19847810027874882
com_salao_de_festas,1.0,0.1648066441733714,0.13121013842237456,0.1962226383445665,0.1861869969828118,0.1962226383445665,0.07910902166323619,0.10481638677209483,0.1962226383445665
com_academia,1.0,0.13074227874383598,0.1312383193216226,0.19619216001383227,0.18623974906833943,0.19619216001383227,0.13519329480749523,0.1634354201823757,0.19619216001383227
com_dependencia_empregados,1.0,0.035491824552296915,0.1635347135207641,0.18978873691406167,0.17496871762700925,0.18978873691406167,-0.021362750136992584,-0.012431361056516285,0.18978873691406167
com_sauna,1.0,0.03964443290942123,0.18175145859186065,0.18797646195626516,0.1815766476483986,0.18797646195626516,0.11611187891353777,0.13463638629003583,0.18797646195626516
bairro_jardim_oceania,1.0,0.11542953542694005,0.0649166284423101,0.18570395676331733,0.16330107838535662,0.18570395676331733,0.1689174739814605,0.21099961137707943,0.18570395676331733
com_piso_ceramica,1.0,0.04691149753438879,-0.10793012758560457,-0.18102792982764512,-0.18149834089002656,-0.18102792982764512,-0.18976608005075007,-0.22182464665457594,0.18102792982764512
com_interfone,1.0,0.27744614586036853,0.10894564044566321,0.17936213144804367,0.1897446375705743,0.17936213144804367,0.08858300813964085,0.11397615731194201,0.17936213144804367
com_playground,1.0,0.11958214378406437,0.13853613863818953,0.17849963148028186,0.16781226403177954,0.17849963148028186,0.08980412501053951,0.11393326335855689,0.17849963148028186
com_closet,1.0,0.033091097845834416,0.1794506722319419,0.17815643626292663,0.17397874491045698,0.17815643626292663,0.017980511855512787,0.032021760227565595,0.17815643626292663
com_piso_porcelanato,1.0,0.15040228393459643,0.11014146340314147,0.17474443567427567,0.1796189787072049,0.17474443567427567,0.12196581842903129,0.16267092482932957,0.17474443567427567
bairro_altiplano_cabo_branco,1.0,0.07215157020503504,0.2633840185783561,0.1731528454569434,0.21064396958444248,0.1731528454569434,0.07413374889814667,0.1071223505529074,0.1731528454569434
com_brinquedoteca_kids,1.0,0.07928886581884247,0.12691059528601764,0.17296931623897385,0.1631305395004561,0.17296931623897385,0.10692699278092796,0.1384086258691712,0.17296931623897385
com_ar_condicionado,1.0,0.1925772125616403,0.09022822583028829,0.1718263851415944,0.17154836616148603,0.1718263851415944,0.10910434466746911,0.13384960476537294,0.1718263851415944
com_churrasqueira,1.0,0.22450038930703348,0.1052136710221798,0.16746142331312727,0.16750071918615098,0.16746142331312727,0.06555166186363343,0.0958467057236541,0.16746142331312727
com_portaria_seguranca_24h,1.0,0.15987542174928626,0.11244033070280547,0.16595003796948438,0.16265089901926486,0.16595003796948438,0.08955342422784542,0.11078764690231507,0.16595003796948438
bairro_mangabeira,1.0,0.016545548922917208,-0.08783390105307926,-0.16402440411804944,-0.14857449298207476,-0.16402440411804944,-0.13848243642189864,-0.16974883905427118,0.16402440411804944
com_elevador,1.0,0.15676096548144303,0.09262527406814774,0.1608117097162858,0.167598016609279,0.1608117097162858,0.08896551972134338,0.113155618483156,0.1608117097162858
bairro_mucumagro,1.0,0.01206851803789255,-0.08625817133437412,-0.1596115168576757,-0.2113819457553213,-0.1596115168576757,-0.12048304116511363,-0.1399659247754888,0.1596115168576757
com_quadra_esportiva,1.0,0.0640410070075266,0.12412113017593233,0.15091078946668943,0.14115252077288096,0.15091078946668943,0.008009026406650714,0.03500384324124369,0.15091078946668943
bairro_tambau,1.0,0.06793407734233065,0.04892730177032982,0.15016655698527281,0.12775317632795805,0.15016655698527281,0.11223918792642092,0.124094616215173,0.15016655698527281
bairro_outros,1.0,0.01674020243965741,-0.07904241421810414,-0.1462180735372381,-0.14689299276137174,-0.1462180735372381,-0.11299707443760922,-0.13530263598495354,0.1462180735372381
com_alarme,1.0,0.05936932260576174,0.08271664524449188,0.14291533161743958,0.13039773847313596,0.14291533161743958,0.07082755150403086,0.09716810095628918,0.14291533161743958
com_coworking_escritorio,1.0,0.04807941863483,0.11498754808478219,0.14143233494005714,0.13772968548401535,0.14143233494005714,0.10053749283074923,0.1228844533080239,0.14143233494005714
com_spa_hidromassagem,1.0,0.044121463794445884,0.14721956308737402,0.1394277692588663,0.14418476578304967,0.1394277692588663,0.11434494267800556,0.11841864319393959,0.1394277692588663
com_bicicletario,1.0,0.06858292239813132,0.09518068672336512,0.13666611399712503,0.1327264795836578,0.13666611399712503,0.11131923444126648,0.13568631833519978,0.13666611399712503
bairro_valentina_de_figueiredo,1.0,0.008629639242148974,-0.07199777367346055,-0.13419660308433926,-0.15699472853785837,-0.13419660308433926,-0.10622737409338721,-0.12587855418118243,0.13419660308433926
